language,dsp,bench_case,mode,precision,opt,samp_rate,buff_size,inputs,outputs,warmup_iters,run_iters,batches,elapsed_s,ns_per_compute,fast_ns_per_compute,slow_ns_per_compute,spread_ns_per_compute,spread_percent,ns_per_frame,ns_per_out_samp,frames_per_s,fast_frames_per_s,slow_frames_per_s,out_samp_per_s,fast_out_samp_per_s,slow_out_samp_per_s,checksum
mojo,apf_clean,apf_clean,vec,double,O3,48000,64,1,1,50,680000,683,0.1002600000028905,147.44117647483904,146.99999992444646,148.9999998739222,1.9999999494757503,1.3564731354521251,2.30376838241936,2.30376838241936,434071414.3102461,435374149.8836331,429530201.705733,434071414.3102461,435374149.8836331,429530201.705733,2.0800000010058284
mojo,apf_current,apf_current,vec,double,O3,48000,64,1,1,50,490000,495,0.1000419999991208,204.1673469369815,203.5999999861815,206.20000004782923,2.6000000616477337,1.273465174845149,3.190114795890336,3.190114795890336,313468343.29857033,314341846.77968436,310378273.4488596,313468343.29857033,314341846.77968436,310378273.4488596,2.0800000010058284
mojo,apf_manualopt,apf_manualopt,vec,double,O3,48000,64,1,1,50,690000,699,0.0989409999983763,143.39275362083526,143.00000002549496,144.79999999821302,1.799999972718069,1.2552935397821423,2.240511775325551,2.240511775325551,446326598.68734574,447552447.47265506,441988950.2816977,446326598.68734574,447552447.47265506,441988950.2816977,2.0800000010058284
mojo,apf_nozec,apf_nozec,vec,double,O3,48000,64,1,1,50,540000,547,0.0993780000007973,184.0333333348099,183.69999997958075,185.00000005587935,1.300000076298602,0.7063938106981552,2.8755208333564046,2.8755208333564046,347763086.3946016,348394120.88793653,345945945.8414528,347763086.3946016,348394120.88793653,345945945.8414528,2.0800000010058284
mojo,apf_promotion,apf_promotion,vec,double,O3,48000,64,1,1,50,680000,683,0.100206000000071,147.36176470598687,146.99999992444646,148.60000001135631,1.6000000869098585,1.0857633865216976,2.302527573531045,2.302527573531045,434305331.01779467,435374149.8836331,430686406.4273822,434305331.01779467,435374149.8836331,430686406.4273822,2.0800000010058284
mojo,cubic,cubic,vec,double,O3,48000,64,0,2,50,122090,725,0.6012069999997038,4924.293553933196,4913.594471654841,4967.128026614453,53.53355495961205,1.0871316742856043,76.94208678020618,38.47104339010309,12996788.127889143,13025087.920706153,12884709.163339565,25993576.25577829,26050175.841412306,25769418.326679125,0.0
