language,dsp,bench_case,mode,precision,opt,samp_rate,buff_size,inputs,outputs,warmup_iters,run_iters,batches,elapsed_s,ns_per_compute,fast_ns_per_compute,slow_ns_per_compute,spread_ns_per_compute,spread_percent,ns_per_frame,ns_per_out_samp,frames_per_s,fast_frames_per_s,slow_frames_per_s,out_samp_per_s,fast_out_samp_per_s,slow_out_samp_per_s,checksum
cpp,bandfilter,run,vec,double,O3,48000,128,1,1,50,240000,244,0.10024749999999999,417.69791666666669,416.72500000000002,419.91669999999999,3.1916999999999689,0.76411681089303229,3.2632649739583335,3.2632649739583335,306441557.14606351,307156998.02027714,304822361.19687545,306441557.14606351,307156998.02027714,304822361.19687545,8.2560000285739079
mojo,bandfilter,run,scalar,double,O3,48000,128,1,1,50,330000,336,0.10135700000000725,307.1424242424461,295.8000000035099,328.20000001265726,32.400000009147334,10.548852080288345,2.3995501893941102,2.3995501893941102,416744773.424598,432724814.0584218,390006093.83017546,416744773.424598,432724814.0584218,390006093.83017546,8.256000028573908
mojo,bandfilter,run,vec,double,O3,48000,128,1,1,50,320000,322,0.1006720000000314,314.60000000009813,313.89999999191787,316.1999999974796,2.300000005561742,0.7310870964911076,2.4578125000007667,2.4578125000007667,406865861.411189,407773176.18125415,404807084.1271988,406865861.411189,407773176.18125415,404807084.1271988,8.256000028573908
cpp,bargraph,run,scalar,double,O3,48000,128,0,10,50,1000000,1000,0.042698714999999998,42.698715,42.3416,43.920900000000003,1.5793000000000035,3.6987061554428595,0.3335837109375,0.033358371093749999,2997748292.8935919,3023031722.9391427,2914330079.7570176,29977482928.935921,30230317229.391426,29143300797.570175,26240
cpp,bargraph,run,vec,double,O3,48000,128,0,10,50,280000,288,0.092859792000000024,331.64211428571429,331.11660000000001,333.47919999999999,2.3625999999999863,0.7123944451652402,2.5909540178571429,0.25909540178571427,385958219.67811418,386570772.9543007,383832035.1014396,3859582196.7811418,3865707729.5430069,3838320351.0143957,26240
mojo,bargraph,run,scalar,double,O3,48000,128,0,10,50,520000,523,0.10028999999985899,192.86538461511338,191.8999999816151,195.0999999735359,3.1999999919207767,1.6591883495873407,1.5067608173055733,0.15067608173055733,663675341.5105553,667014069.8919384,656073808.3924265,6636753415.105553,6670140698.919384,6560738083.924265,26240.0
mojo,bargraph,run,vec,double,O3,48000,128,0,10,50,1000000,1000,0.0547830000000431,54.78300000004313,53.600000001097214,56.00000004051253,2.4000000394153176,4.380921160603523,0.42799218750033696,0.042799218750033695,2336491247.282903,2388059701.4436526,2285714284.060713,23364912472.829033,23880597014.436527,22857142840.60713,26240.0
cpp,bells,run,scalar,double,O3,48000,128,0,1,50,118750,1000,2.4064662519999982,20264.978964210528,19934.617338003503,20719.901911886951,785.28457388344759,3.8750821072665262,158.32014815789475,158.32014815789475,6316315.4635421876,6420991.0744551811,6177635.4224228617,6316315.4635421876,6420991.0744551811,6177635.4224228617,0
cpp,bells,run,vec,double,O3,48000,128,0,1,50,115450,1000,2.7736523760000003,24024.706591598093,23537.397967823879,24476.137342908438,938.73937508455856,3.9073916324657803,187.6930202468601,187.6930202468601,5327848.6258293809,5438154.2163232621,5229583.3368938798,5327848.6258293809,5438154.2163232621,5229583.3368938798,0
mojo,bells,run,scalar,double,O3,48000,128,0,1,50,116750,1000,2.6432310000000143,22640.094218415536,22089.74358984408,23200.333889887614,1110.590300043532,4.90541377314664,176.87573608137137,176.87573608137137,5653686.71901923,5794544.3992771795,5517161.977388251,5653686.71901923,5794544.3992771795,5517161.977388251,0.0
